# BEAST v1.8.0, r5971
# Generated Mon Feb 24 17:20:11 PST 2014 [seed=1]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	clock.rate	treeLikelihood	coalescent
0	-371593.9634245587	-43382.52135279841	-328211.4420717603	994.3900000000001	47.0	1.0	-328211.4420717603	-43377.6712051967
1000	-291426.77723086986	-1685.8273769046248	-289740.94985396526	694.286204106624	1514.2326737816143	0.9076800122501197	-289740.94985396526	-1677.5970327886912
2000	-169216.98018291473	-1627.7815866440503	-167589.1985962707	581.9421552340997	1358.1836229527905	0.09031922318903811	-167589.1985962707	-1620.4773639061598
3000	-23342.45887985199	-1538.9336738789873	-21803.525205973005	541.8988686233583	865.6519816616726	0.0036353177892729555	-21803.525205973005	-1532.1665556021574
4000	-9959.847802272454	-1641.3876838368099	-8318.460118435643	624.8136739685368	1262.0446008821368	2.924570882302106E-4	-8318.460118435643	-1634.246902995817
5000	-9015.754863587137	-1807.3567600509418	-7208.398103536196	1025.9854811824052	3062.077724011354	4.7789325053694376E-5	-7208.398103536196	-1799.329863302308
6000	-8660.502072541254	-1803.5295366374544	-6856.9725359038	807.2163293206393	3104.2088679606163	5.305000397233808E-5	-6856.9725359038	-1795.4889694184753
7000	-8373.478308929705	-1815.5759562571152	-6557.90235267259	739.1836150953633	3273.8632728557104	4.661668129001214E-5	-6557.90235267259	-1807.4821836448727
8000	-8244.333558343433	-1830.6902429776278	-6413.6433153658045	751.9582046251581	4238.251709404455	4.9408521786830166E-5	-6413.6433153658045	-1822.3382874386002
9000	-8060.190685037081	-1758.3616722778509	-6301.82901275923	478.84923700295406	2734.626375530917	7.10209488789549E-5	-6301.82901275923	-1750.4478511599586
10000	-7896.591308072734	-1749.9592935793596	-6146.632014493374	313.6754622310204	2937.651177878951	7.496455708714047E-5	-6146.632014493374	-1741.9738529928645
11000	-7755.205147408632	-1734.6410205921313	-6020.564126816501	263.17727490713946	2771.417376117436	9.678410741444447E-5	-6020.564126816501	-1726.7138096515812
12000	-7677.556224852259	-1723.1394791921468	-5954.416745660113	279.28419391550347	2043.718313694141	8.792806324918164E-5	-5954.416745660113	-1715.5168651335612
13000	-7607.357481765369	-1705.5069834704054	-5901.8504982949635	290.43495821383436	2003.8434636062325	9.506496139474352E-5	-5901.8504982949635	-1697.9040660582632
14000	-7553.404042899343	-1733.5099281809687	-5819.894114718374	268.24441789695544	2348.18571547923	8.207165940041477E-5	-5819.894114718374	-1725.7484478363106
15000	-7501.549912222823	-1758.273499974215	-5743.276412248608	303.48613179337724	2645.1704198071707	7.44301837679668E-5	-5743.276412248608	-1750.3929347708854
16000	-7497.915536178837	-1796.837165048073	-5701.078371130764	339.52776285585713	3060.930313516932	5.983289175745217E-5	-5701.078371130764	-1788.8106310424157
17000	-7342.8852636867305	-1761.744092144295	-5581.141171542436	290.72808270227443	2758.4367853314084	6.969933405253945E-5	-5581.141171542436	-1753.821603028831
18000	-7317.306614528475	-1786.7028889635128	-5530.603725564962	312.2685968623009	2902.8332626661413	6.745266749832132E-5	-5530.603725564962	-1778.7293789846858
19000	-7259.907801804413	-1768.6776951476077	-5491.230106656805	328.65178380273034	2784.6319933058962	6.087618643327251E-5	-5491.230106656805	-1760.7457632666399
20000	-7210.262174752583	-1778.5191835988214	-5431.742991153761	352.95455022024396	2629.4336726097517	6.339877864763429E-5	-5431.742991153761	-1770.644596431667
21000	-7167.3994269566765	-1769.3375768903534	-5398.061850066323	323.5517638611195	2638.6551476557433	6.113520328016373E-5	-5398.061850066323	-1761.4594911025717
22000	-7123.641831273031	-1776.2759771786282	-5347.3658540944025	307.0069937033883	2733.6957369518045	6.215676775241936E-5	-5347.3658540944025	-1768.3625052993752
23000	-7136.790595521541	-1815.0153570971665	-5321.775238424374	324.9285272407439	3412.4178726258046	5.337757271455223E-5	-5321.775238424374	-1806.88012734702
24000	-7041.19567175021	-1763.6217160155304	-5277.57395573468	252.00573078163413	2539.8938842464095	6.81652412520519E-5	-5277.57395573468	-1755.781770269005
25000	-6998.603189957065	-1774.6820164031085	-5223.921173553957	252.8894704677326	3396.3473313417117	6.083282643492277E-5	-5223.921173553957	-1766.5514997514783
26000	-6983.681646617439	-1773.5170468713047	-5210.164599746134	312.2876305435967	2752.8039287947563	5.95072397931037E-5	-5210.164599746134	-1765.5966120823832
27000	-6886.315446793413	-1766.906985786353	-5119.4084610070595	306.18627826694325	2672.4436089846777	6.489923716858942E-5	-5119.4084610070595	-1759.0161723449128
28000	-6850.519444885111	-1753.5925360838014	-5096.92690880131	320.0361332245073	2581.4805549743014	6.414238890632236E-5	-5096.92690880131	-1745.7363535695736
29000	-6764.631809288716	-1727.3229961810744	-5037.308813107641	306.86466105058855	2473.1007328804976	6.35817460572297E-5	-5037.308813107641	-1719.5097045995672
30000	-6742.756708520756	-1701.6149315195114	-5041.141777001244	259.21087341072746	1965.9347626318179	8.164682017921945E-5	-5041.141777001244	-1694.031126755326
31000	-6687.962978257292	-1711.4351178129625	-4976.527860444329	266.9652089126689	2038.9994735066284	6.798034535671199E-5	-4976.527860444329	-1703.8148353202544
32000	-6649.333537131603	-1713.427459319201	-4935.906077812402	236.19353701684867	2411.6293721444144	6.852145861705932E-5	-4935.906077812402	-1705.6393329116756
33000	-6606.635273188394	-1700.3262275135064	-4906.309045674888	210.29215355480284	1899.756988291531	7.556466206124457E-5	-4906.309045674888	-1692.7766706927691
34000	-6594.142863547468	-1685.2074350988769	-4908.935428448591	236.09800733255815	1985.3330853889183	7.816263287181579E-5	-4908.935428448591	-1677.6138149559963
35000	-6556.8680616392985	-1695.1934714995762	-4861.674590139723	230.12541631636452	1947.3155606335176	6.88055689880616E-5	-4861.674590139723	-1687.6191956264552
36000	-6523.441915267462	-1706.2893468146508	-4817.152568452811	229.9422308282224	2083.6257904549057	7.199346205224503E-5	-4817.152568452811	-1698.6474099975603
